time,kind,title,url,content
23:11,財經,博通收購高通若成　研調：台灣與陸晶片廠首當其衝,https://tw.finance.appledaily.com/realtime/20171106/1236219/,"博通打算以天價金額收購高通的傳聞，在今天已被證實。博通於美國時間11月6號正式宣布，將以總金額1,300億美元買下高通，而高通官方也在稍晚回覆，已經進入評估程序，在董事會未完成評估前，不會發布任何相關評論。此一併購案若能夠讓高通董事會點頭，此收購金額勢必將寫下半導體併購案的歷史新高記錄，同時也開啟了全球半導體產業的全新里程碑。TrendForce旗下拓墣產業研究院認為，後續觀察重點除了博通在車用電子市場的布局外，還有此併購案對全球晶圓代工的影響及對台灣與大陸晶片產業的衝擊。拓墣產業研究院分析師姚嘉洋表示，博通所瞄準的，極有可能是完成收購恩智浦半導體（NXP）的「新高通」。高通本身在全球無線通訊居於領先地位，在完成恩智浦的收購後，將一躍成為全球車用半導體方案最為完整的供應商，考量車用電子市場將持續擁有一定的成長動能，加上博通也是車用乙太網路的主要晶片供應商，收購高通將替博通帶來相當大的效益。姚嘉洋進一步指出，除了恩智浦在車用半導體是最大的供應商外，另一項關鍵在於恩智浦在通訊基礎建設端也有相當豐富的產品線，能與博通高度互補。觀察博通過去的併購案以及營收類別的比重，通訊基礎建設可說是博通相當重要的命脈，而恩智浦的前二十大客戶中，就有五家是通訊基礎建設業者。"
23:03,娛樂,小豬旗下男星躍大銀幕　驚喊「老闆娘有怪物」,https://tw.entertainment.appledaily.com/realtime/20171106/1236179/,新導演火火執導的奇幻愛情喜劇電影《奇幻民宿》，上周公佈沙溢胡可夫妻出演後，今日發佈「呼叫老闆娘」宣傳片，公布楊梓鑫、陳慕、徐文潔和陳漢娜等人參與演出，楊梓鑫2017年參加《快樂男聲》，並加入羅志祥戰隊闖進八強，目前他已簽約成為羅志祥旗下藝人，作為一個電影新人，楊梓鑫坦言「既期待又緊張」、「會好好向前輩演員學習」。《奇幻民宿》最新釋出的「呼叫老闆娘」短片主打怪物概念，片中民宿傳聞「只有真愛才能入住」，而畫面在眾人驚呼「老闆娘有怪物」中結束，字幕出現「民宿有怪物，小心愛上他」。除「怪物」之外，短片還首次提到了「老闆娘」，但只聞其名未見其人，讓人不禁好奇老闆娘的身份、以及在她影片中的作用。（張力文／台北報導）
23:05,社會,赴俄旅遊變中國人　起因PO網炫耀有對岸護照,https://tw.news.appledaily.com/local/realtime/20171106/1236197/,(更新:新增影片)台中市清水區「GO！出發」旅行社的顏姓領隊，10月初帶20人旅遊團到大陸東北及俄國海參崴旅遊，眾人持一次性中華人民共和國護照入出境俄國，顏男因第一次拿到對岸這類一次性的出入境護照，於是在臉書PO圖，還與中華民國護照對照，結果返國後GG了，遭人向移民署檢舉持有中華人民共和國護照，不僅中華民國護照隨即遭註銷，清水戶政事務所也發函通知他繳回身分證及註銷戶籍，顏男頓時成為中國人，而且還只剩1個月時效。顏姓領隊（29歲）說，「GO！出發」旅行社主要是銷售東南亞與日韓團體行程，首度規劃中國東北、海參崴5日遊，招攬客人後，交由可樂旅遊安排大陸行程，及入境俄羅斯手續，一行人由他帶團，10月4日從桃園機場出境到長春，5日入境俄國海參崴旅遊；顏男說，這次是公司第一次辦俄國團，入境俄國前，他跟團員每人都拿到一本一次性出入境，效期3個月的中華人民共和國護照，大家都覺得很新鮮，他還將兩岸間護照拍照PO臉書，佐證自己同時有兩本護照。顏因此遭人向移民署檢舉，整團也只有他遇到此狀況，清水戶政所秘書陳秀珍表示，上月接到移民署通知註銷顏男的身分證及戶口名簿戶籍後，立即發函通知顏男在本月10日前辦理繳回身份證及註銷戶籍。顏男表示，2日他收到清水戶政事務所的公文時，以為是詐欺集團，他去戶政事務所求證後，才知道自己失去中華民國身分證、戶籍跟護照，手中只有一本限琿春出入境的中華人民共和國臨時護照；他原本上周要帶團去泰國，因中華民國護照遭註銷無法帶團出境，他自認成無國籍「人球」，希望能儘快恢戶國籍跟身分。台中旅行業楊姓副理說，從台灣申辦俄簽的費用約4000餘元，且程序繁瑣曠日費時，進入大陸到臨邊城市辦一次性中華人民共和國護照，只要人民幣160元，申辦速度快，因此，到大陸旅遊又要順道出境的旅行團或個人，都會走這種程序，已經行之多年，從來沒有聽說，有類似顏男的情事發生。可樂旅行社李姓副總則表示，他們是透過大陸在地旅行社辦理臨時護照，公司也是第一次遇到這種情形，將全力協助顏男解決國籍問題。據戶政人員透露，向移民署檢舉的圖片是對岸護照正面，及內頁個資相片部份，刻意避開隔頁「限隨旅遊團隊一次出入境有效。出入境口岸：琿春」的註記，惡整顏男意圖明顯。移民署則說，如經查證顏男確未涉及身分轉換，將盡速協助其回復身分。（孫義方／台中報導）出版時間:2246更新時間:2305想知道更多，一定要看……赴俄玩回來「變成中國人」　慘遭除戶、註銷護照
23:08,體育,【有片】中信投下震撼彈　蔣智賢、張正偉等7人釋出,https://tw.sports.appledaily.com/realtime/20171106/1236155/,中信兄弟今天投下震撼彈，一口氣釋出單季30轟內野重砲蔣智賢、外野最佳十人「花花」張正偉、捕手鄭達鴻，投手陳鴻文、林煜清、林克謙、羅國華等7人。中信在聲明稿指出，考慮球隊長期發展並進行球隊重整，才提出第一次戰力外名單。中信在例行賽結束前投下第1波「冰」風暴，將內野手林智勝、蔣智賢、王勝偉，外野張正偉與捕手鄭達鴻等5名經典賽國手陸續下放二軍，季後賽開打前，投手陳鴻文、林煜清與內野手許基宏也不在28人名單中，連同9月因傷下放二軍投手林克謙、江忠城，教練團捨棄10名過去一軍主力，決定以年輕球員打季後賽。總冠軍戰第3場開打前，中信老闆辜仲諒撂下重話，直言：「要成功一定要有紀律，沒有紀律不會成功的，你看國外像日本、美國的選手有邊喝酒邊打球的嗎？對不對？這樣的話球迷會同意嗎？不會同意的。」這番話被解讀為老闆對球員紀律已忍無可忍，領隊劉志威也在上周預告，今天開會後會有結果。林智勝與王勝偉複數年合約都還剩下1年，不在釋出名單中。張正偉今年年資滿8年，加上唸過大學4年，首次取得自由球員資格。(王覺一／台北報導)發稿時間　20：48新增影片　23：07 
22:46,地產,北市今年最熱賣2案　他們花10年整合,https://tw.finance.appledaily.com/realtime/20171106/1235945/,新增：表格「都更地主戶，通常只有2種人，一種是貪、另一種是非常貪。」耕薪都市更新公司董事長黃張維說。深耕北市精華區都更案11年，該公司今年接連推出「耕云」、「勤耕延吉」將宣告完銷，黃張維透露，2案皆歷經10年程序才有今日成績，而如何與地主戶之間建立相對信任，則是都更過程中，最大的學問。 據耕薪公司網頁揭露，截至今年6月止，經手都更案核定公告實施共4案，待核定個案則有5案，依照該公司成立11年來看，幾乎是每年都有1新進都更案進入程序。黃張維說：「看起來雖然順遂，但以今年推出新案，是10年前就已啟動的個案來看，都更仍是一條漫長的道路。」 黃張維分析，耕薪開發都更案，以市中心、低商業密度的住宅區為主，基地規模300~600坪，原住戶30戶左右，成功機率較高。以「耕云」案為例，該案僅有2地主，卻耗時近10年才正式推案，黃張維說：「公部門在審議過程中，容積獎勵沒有明確數值，成為實施者在對地主談判時的一大變數。這是阻礙都更前進的一顆大石頭，建議公部門應檢討。」（詹宜軒／台北報導）出版時間：18：07更新時間：22：46更多房地產新聞，請參考蘋果地產王粉絲團 想知道更多，一定要看……【有片】北市商辦租量　這裡擠掉信義區躍居季軍產業面臨「缺地」？　今年工業用地交易超夯高雄買氣回溫　大樓新案不到1季完銷3招解決企業缺地　商仲：細節需更明確【買房問蘋果】欠租金！　房東4個月後才能追討
22:50,財經,【最大購併案】博通求親　高通：收到提案待董事會檢視,https://tw.finance.appledaily.com/realtime/20171106/1236216/, 網通晶片龍頭博通擬以小吃大，併購晶片大廠高通。高通在今天晚間證實，已收到博通的提案，但在董事會未完成檢視前，不會有相關評論，會以股東權益為優先考量。高通聲明指出，董事會將與其財務和法律顧問協商，對博通的提案進行評估，以便採取符合高通股東最佳利益的行動方針。在董事會完成審核之前，高通將不會有相關評論。高通也強調，高通董事會和管理階層持續透過聚焦重點投資，拓展行動產業領導地位，同時也會保持財務穩健和資本報酬。高通會以追求股東最大利益為優先考量，為股東創造更多價值。（陳俐妏／台北報導）想知道更多，一定要看……【大事片】科技業史上最大併購！博通宣布砸近4兆買高通【最大購併案】博通併高通　台廠好壞參半聚焦4面向【竟沒人發現～】他才現身台積周年慶　與張忠謀、併購對象同台【奮鬥片】博通併高通幕後推手　出身大馬貧民區
15:12,生活,傻眼！丈母娘討350萬聘金　「280萬修我家」,https://tw.news.appledaily.com/life/realtime/20171106/1235910/,350萬聘金會不會真的太多了一點！？日前一位男網友於匿名臉書粉絲團《靠北女友》發文，表示與交往3年的女友準備論及婚嫁，想不到雙方家長坐下談時，對方母親竟然要他們拿出350萬元，包含女方的親戚桌數、遊覽車、飯店、主持人以及蜜月旅行，剩下多的還要存給伯母，最後還要求房屋過戶，他傻眼問說「要放手嗎？」「我知道你愛我，但...你家人企圖太明顯了吧...」，「這是考驗？還是挖洞？」近日這位網友再度發文，悲觀地表示「現在...離分手不遠了」，原來女友媽媽日前再度約他吃飯，席間包括女友、女友父母以及兩位沒見過的親友，突然女友拿出平板，指出《靠北女友》的貼文，詢問「你有沒有把我的事放到網路上？」，原PO當場嚇到，打死也不承認。這時候伯母也攤牌，原來350萬其中有280萬是要整修「她」的房子，還說「我知道房子是你的名子(字)，過到我女兒不好嗎？我女兒愛你是你的福氣，你要是沒膽當就不要再找她！」，伯父以及兩位親友也跟著說服，這時原PO也忍不住了，承認貼文是他所PO，還嗆說「我是要娶妳女兒不是娶你『一家人』」，「350萬我拿不出，我跟你講明了就80萬，結婚不是比派頭..錢也不是這樣燒，是給彼此親朋好友吃的高興、真心替我們祝福！」結果女友聽完竟然哭了，但卻不是感動的淚水，而是說「你根本不愛我...」，讓原PO聽完直接走掉，臨走前表示「我對你的女兒是真心，想好後請她傳LINE給我吧...這桌我付沒關係」，回去途中又不禁感嘆「這又是考驗還是遇到詐騙？」文章引發網友熱烈討論，有網友留言表示「一對自以為女兒很值錢的父母，一個自以爲自己很值錢的女人」「啥整修自己的房子要用女婿的錢？」「娶老婆還要幫忙翻修娘家 然後還要一間送老婆...」「下一個會更好。記得去廟裡燒香拜拜感謝上蒼幫你斷孽緣。」「350萬可以娶頂級俄羅斯妹了」（即時新聞中心／綜合報導）
22:50,財經,【早起才有好康】日圓0.2659現身　創27個月新低（動畫）,https://tw.finance.appledaily.com/realtime/20171106/1235681/,（更新：新增動畫動新聞、收盤價、網友看法）日圓持續跳水，根據今天台銀最新牌告價格，日圓兌台幣現金開盤匯價來到0.2667創近27個月來新低，9點多低點下探0.2659，也就是1元台幣可換到3.76日圓，哈日族樂翻。根據台銀最新牌告價格，隨著日圓跌破114，台幣兌日圓持續走揚，開盤來到0.2667，創下27個月來新低。不過，中午過後開始攀升，截至下午2點20分，匯價回升至0.2671，終場則是收0.2699。若以5萬台幣換算，這一波段高點出現在9初的0.281，也就是1元台幣僅可換到3.558日圓，只能換到177935日圓，早盤則可換到188000日圓，現賺1萬多日圓，遊東京迪士尼及晴空塔門票全免。（財經中心／台北報導）----------網友看法--------網友留言表示，「終於可以換了」、「差不多大買特買了！」但也有網友認為「年底前下看0.255」、「0.25888就可以大買特買啦！稍安勿躁！」 出版：09：18更新：22：50 
23:22,生活,議員替市立台中州廳抱屈　要求改列國定古蹟,https://tw.news.appledaily.com/life/realtime/20171106/1236187/,台中州廳（舊台中市政府）是指定國家古蹟，修復後應仍屬於國定古蹟，但目前卻是台灣地區仍存在的州廳中唯一的市立古蹟，且計畫修建後交由國美館代管，對此市議員王立任、陳世凱、江肇國今天在市議會質詢時主張，文化局應該爭取台中州廳為國定古蹟，並由台中市文化局進駐辦公或將台中文學館遷入，讓文學閲讀，音樂展演、數位典藏有使用空間，讓台中州廳這個國家級古蹟建築被認同、活化再利用。對此文化局長王志誠表示認同，也將爭取台中州廳做為國定古蹟定位並獲得最好的利用。 市議員王立任替台中州廳叫屈說，日治時代在全台設有台北、新竹、台中、台南及高雄五個州，分別建有州廳做為辦公廳舍，目前除了高雄州廳於1987年拆除外，台北、新竹及台南州廳都指定為國定古蹟，唯獨台中州廳具備國定古蹟資格卻長期被忽略，至今仍是市定古蹟，他將親自填寫申請書，直接向文化部文資局申請指定為國定古蹟。 王立任與陳世凱並認為，這一幢具有歷史與文化價值的建築，市府應該用心保存及再利用，像台北州廳目前為監察院辦公廳舍、新竹州廳為新竹市政府，所以可以考慮將文化局遷入辦公，結合古蹟與文化的意象，讓再利用與原來的功能緊密結合，不然也可以像台南州廳做為台灣文學館，相信對推動本土文學會有極大助益。 市議員江肇國則表示，台中州廳活化利用市府應掌握主導權，且台中市的文化場館應更豐富多元，目前文學閲讀，音樂展演、數位典藏等都仍欠缺妥善空間，若將州廳修建後交由國美館經營，定位為台中市第三座美術館，恐非最有效益的好選擇。(曾雪蒨／台中報導)
22:51,生活,台旅團在巴布亞紐幾內亞被搶 　2人護照遺失　,https://tw.news.appledaily.com/life/realtime/20171106/1236193/,（更新: 觀光局說法)外傳台灣一群包括導遊在內的10人旅遊團，本月2日前往巴布亞紐幾內亞遇搶匪，觀光局剛剛證實的確有團遇搶，2人護照損失，無人傷亡。觀光局表示，由大地假期旅行社接待之觀光團共10人(含劉姓領隊）、旅遊期間為本月2日到24日，該團本月4日在巴布亞紐幾內亞遭搶，2人護照遺失無人傷亡，已就近請所羅門及吐瓦魯大使館協助，全團將繼續行程。《蘋果》則無法取得大地假期旅行社回應。旅行公會說，國內會帶團去巴布亞紐幾內亞觀光的，應是中小型旅行社，平時有固定客群，畢竟該地區偏遠，並非熱門旅遊景點。（張博亭／台北報導） 想知道更多，一定要看……台人遊巴紐遭持槍搶劫　外交部：僅財務損失全員均安
